brand,model_year,bike_age,price,price_segment,power_bhp,owner_num,annual_depreciation,price_retention_ratio
harley-davidson,2013,12,650000.0,Luxury (>200k),65.0,1,-0.1784074034875507,1.5116279069767442
harley-davidson,2013,12,515000.0,Luxury (>200k),65.0,1,-0.15576609940417518,1.197674418604651
harley-davidson,2015,10,625000.0,Luxury (>200k),65.0,1,-0.21297324308187315,1.4534883720930232
harley-davidson,2015,10,778125.0,Luxury (>200k),65.0,1,-0.23984717275764478,1.809593023255814
harley-davidson,2013,12,195000.0,Premium (100-200k),65.0,1,-0.06591416491093982,1.0
honda,2018,7,830000.0,Luxury (>200k),84.11,1,-0.37210448343714964,1.1259015690727048
harley-davidson,2017,8,1000000.0,Luxury (>200k),67.7,1,-0.3499852516981947,2.3255813953488373
harley-davidson,2015,10,1500000.0,Luxury (>200k),115.0,2,-0.3239523202742838,3.488372093023256
honda,2010,15,799999.0,Luxury (>200k),176.0,1,-0.15624031781878056,1.0852049751284274
harley-davidson,2014,11,924999.0,Luxury (>200k),65.0,1,-0.23511295695746814,2.1511604651162792
harley-davidson,2015,10,625000.0,Luxury (>200k),65.0,2,-0.21297324308187315,1.4534883720930232
harley-davidson,2019,6,1050000.0,Luxury (>200k),67.7,1,-0.5041930640218628,2.441860465116279
triumph,2017,8,700000.0,Luxury (>200k),78.9,2,-0.2911190200207807,0.875
triumph,2015,10,580000.0,Luxury (>200k),67.0,1,-0.20394325651296463,0.725
harley-davidson,2016,9,750000.0,Luxury (>200k),67.7,1,-0.26463716145606186,1.744186046511628
benelli,2016,9,497000.0,Luxury (>200k),82.7,1,-0.20811935539433146,1.8238532110091743
triumph,2015,10,1299000.0,Luxury (>200k),135.0,1,-0.3050409348018752,1.62375
benelli,2016,9,415000.0,Luxury (>200k),82.7,1,-0.18415600291764656,1.5229357798165137
benelli,2018,7,515000.0,Luxury (>200k),82.7,1,-0.2816724824138106,1.889908256880734
ducati,2017,8,1500000.0,Luxury (>200k),153.8,1,-0.4201703173779465,1.4012143858010275
benelli,2018,7,475000.0,Luxury (>200k),82.7,2,-0.26695394673739736,1.7431192660550459
benelli,2018,7,425000.0,Luxury (>200k),82.7,1,-0.2469819301813958,1.5596330275229358
benelli,2019,6,650000.0,Luxury (>200k),82.7,1,-0.38864400859427106,2.385321100917431
harley-davidson,2015,10,570625.0,Luxury (>200k),50.0,1,-0.20198292607405466,1.3270348837209303
triumph,2019,6,600000.0,Luxury (>200k),54.2,2,-0.3702418900511033,0.75
harley-davidson,2016,9,379999.0,Luxury (>200k),47.0,1,-0.17261969124696575,0.8837186046511628
triumph,2017,8,750000.0,Luxury (>200k),111.0,1,-0.30230192307483805,0.9375
harley-davidson,2018,7,475000.0,Luxury (>200k),47.0,1,-0.26695394673739736,1.1046511627906976
harley-davidson,2017,8,540000.0,Luxury (>200k),50.0,1,-0.24990856456992927,1.255813953488372
triumph,2016,9,490000.0,Luxury (>200k),77.0,2,-0.20621677374706748,0.6125
hyosung,2013,12,190000.0,Premium (100-200k),72.68,1,-0.06360935709042415,1.1515151515151516
harley-davidson,2014,11,335000.0,Luxury (>200k),47.0,2,-0.1261778982758901,0.7790697674418605
harley-davidson,2019,6,440000.0,Luxury (>200k),47.0,1,-0.3012102569682642,1.0232558139534884
harley-davidson,2016,9,265000.0,Luxury (>200k),47.0,1,-0.1265856874489515,0.6162790697674418
triumph,2018,7,580000.0,Luxury (>200k),54.2,1,-0.30362132157116917,0.725
harley-davidson,2016,9,390000.0,Luxury (>200k),47.0,1,-0.17600929783705133,0.9069767441860465
harley-davidson,2016,9,360200.0,Luxury (>200k),47.0,2,-0.16566860566707375,0.8376744186046512
harley-davidson,2016,9,350000.0,Luxury (>200k),47.0,1,-0.16195394587093115,0.813953488372093
triumph,2016,9,599999.0,Luxury (>200k),77.0,3,-0.23366737516493297,0.74999875
harley-davidson,2016,9,337187.0,Luxury (>200k),47.0,1,-0.1571488385310953,0.7841558139534883
harley-davidson,2016,9,337187.0,Luxury (>200k),47.0,1,-0.1571488385310953,0.7841558139534883
harley-davidson,2018,7,726250.0,Luxury (>200k),50.0,1,-0.34617840535666833,1.688953488372093
triumph,2018,7,880837.0,Luxury (>200k),111.0,1,-0.3838065805803599,1.10104625
harley-davidson,2015,10,570625.0,Luxury (>200k),50.0,1,-0.20198292607405466,1.3270348837209303
harley-davidson,2016,9,596562.0,Luxury (>200k),50.0,1,-0.2328801610934319,1.387353488372093
harley-davidson,2017,8,370000.0,Luxury (>200k),47.0,1,-0.19221406059284019,0.8604651162790697
triumph,2016,9,575000.0,Luxury (>200k),77.0,2,-0.2278475513631557,0.71875
harley-davidson,2017,8,399000.0,Luxury (>200k),47.0,1,-0.20351258472848088,0.9279069767441861
harley-davidson,2018,7,420000.0,Luxury (>200k),47.0,1,-0.24487551772385996,0.9767441860465116
harley-davidson,2017,8,480000.0,Luxury (>200k),47.0,1,-0.23164111613672733,1.1162790697674418
triumph,2018,7,726250.0,Luxury (>200k),54.2,1,-0.34617840535666833,0.9078125
triumph,2015,10,580000.0,Luxury (>200k),77.0,1,-0.20394325651296463,0.725
harley-davidson,2015,10,380000.0,Luxury (>200k),47.0,1,-0.15409505135414658,0.8837209302325582
harley-davidson,2016,9,360000.0,Luxury (>200k),47.0,1,-0.16559667301448133,0.8372093023255814
harley-davidson,2017,8,486200.0,Luxury (>200k),47.0,1,-0.23361855565249146,1.1306976744186046
triumph,2018,7,696824.0,Luxury (>200k),111.0,2,-0.33824759093682033,0.87103
harley-davidson,2018,7,516600.0,Luxury (>200k),47.0,1,-0.28224056861886604,1.2013953488372093
hyosung,2011,14,180000.0,Premium (100-200k),72.68,2,-0.050216668500598693,1.0909090909090908
harley-davidson,2018,7,535000.0,Luxury (>200k),47.0,1,-0.2886674333994339,1.244186046511628
